,0
0,566178.875
1,555971.5
2,535678.625
3,498904.65625
4,442333.0625
5,378344.4375
6,319962.53125
7,274202.0625
8,239376.671875
9,205240.375
10,167542.4375
11,138800.609375
12,119345.578125
13,104923.703125
14,93556.40625
15,84203.3125
16,75985.6796875
17,68229.9375
18,60931.19921875
19,54633.140625
20,49551.48828125
21,45353.7890625
22,41626.48828125
23,38092.09375
24,34670.31640625
25,31519.619140625
26,28894.248046875
27,26905.91796875
28,25452.015625
29,24320.451171875
30,23302.919921875
31,22254.736328125
32,21136.427734375
33,20005.212890625
34,18958.662109375
35,18079.3984375
36,17391.10546875
37,16855.439453125
38,16399.564453125
39,15959.3544921875
40,15508.7880859375
41,15056.50390625
42,14621.1494140625
43,14222.8994140625
44,13871.2470703125
45,13567.2255859375
46,13302.3046875
47,13062.3173828125
48,12834.5546875
49,12612.1455078125
50,12394.4833984375
51,12185.2353515625
52,11989.3125
53,11809.177734375
54,11643.4248046875
55,11488.623046875
56,11340.9599609375
57,11198.5634765625
58,11061.384765625
59,10930.447265625
60,10807.79296875
61,10693.869140625
62,10586.5361328125
63,10483.048828125
64,10381.7646484375
65,10283.0009765625
66,10188.2685546875
67,10098.5966796875
68,10013.94921875
69,9933.3134765625
70,9855.544921875
71,9780.1181640625
72,9707.271484375
73,9637.5205078125
74,9571.0078125
75,9507.396484375
76,9446.193359375
77,9387.12109375
78,9330.1650390625
79,9275.3427734375
80,9222.6484375
81,9171.9287109375
82,9122.9482421875
83,9075.5009765625
84,9029.751953125
85,8985.9052734375
86,8943.6865234375
87,8902.9384765625
88,8863.546875
89,8825.4130859375
90,8788.45703125
91,8752.6220703125
92,8717.88671875
93,8684.201171875
94,8651.572265625
95,8620.0185546875
96,8589.5283203125
97,8560.01953125
98,8531.443359375
99,8503.7275390625
100,8476.8076171875
101,8450.6171875
102,8425.1591796875
103,8400.4208984375
104,8376.3857421875
105,8353.0224609375
106,8330.2900390625
107,8308.15625
108,8286.6064453125
109,8265.615234375
110,8245.1552734375
111,8225.23046875
112,8205.806640625
113,8186.87158203125
114,8168.4052734375
115,8150.38427734375
116,8132.8046875
117,8115.63232421875
118,8098.86669921875
119,8082.49560546875
120,8066.49755859375
121,8050.8681640625
122,8035.587890625
123,8020.64697265625
124,8006.04248046875
125,7991.751953125
126,7977.77099609375
127,7964.0869140625
128,7950.69091796875
129,7937.580078125
130,7924.72998046875
131,7912.15478515625
132,7899.8271484375
133,7887.7373046875
134,7875.89013671875
135,7864.27001953125
136,7852.859375
137,7841.64306640625
138,7830.60107421875
139,7819.728515625
140,7809.056640625
141,7798.6513671875
142,7788.49169921875
143,7778.53564453125
144,7768.77587890625
145,7759.1865234375
146,7749.75830078125
147,7740.4970703125
148,7731.390625
149,7722.439453125
150,7713.63525390625
151,7704.97607421875
152,7696.4619140625
153,7688.08935546875
154,7679.84912109375
155,7671.7412109375
156,7663.76611328125
157,7655.92236328125
158,7648.18994140625
159,7640.58544921875
160,7633.09228515625
161,7625.7158203125
162,7618.4462890625
163,7611.28466796875
164,7604.22216796875
165,7597.25732421875
166,7590.39111328125
167,7583.61962890625
168,7576.9326171875
169,7570.33935546875
170,7563.8349609375
171,7557.4150390625
172,7551.07958984375
173,7544.81787109375
174,7538.64013671875
175,7532.541015625
176,7526.5205078125
177,7520.57177734375
178,7514.6943359375
179,7508.89501953125
180,7503.16162109375
181,7497.49169921875
182,7491.896484375
183,7486.36767578125
184,7480.904296875
185,7475.50537109375
186,7470.17333984375
187,7464.89990234375
188,7459.6923828125
189,7454.544921875
190,7449.458984375
191,7444.43017578125
192,7439.46484375
193,7434.55908203125
194,7429.71142578125
195,7424.91796875
196,7420.1845703125
197,7415.50830078125
198,7410.89013671875
199,7406.3271484375
200,7401.8212890625
201,7397.3720703125
202,7392.978515625
203,7388.63623046875
204,7384.3515625
205,7380.12060546875
206,7375.93310546875
207,7371.79248046875
208,7367.6787109375
209,7363.55859375
210,7359.35546875
211,7354.9560546875
212,7350.33154296875
213,7345.6728515625
214,7341.4951171875
215,7337.6953125
216,7333.88037109375
217,7329.9072265625
218,7326.0810546875
219,7322.51611328125
220,7319.03955078125
221,7315.6103515625
222,7312.228515625
223,7308.8837890625
224,7305.59619140625
225,7302.35791015625
226,7299.16796875
227,7296.02587890625
228,7292.9306640625
229,7289.87939453125
230,7286.86328125
231,7283.88623046875
232,7280.92333984375
233,7277.96337890625
234,7274.9853515625
235,7272.0107421875
236,7269.14013671875
237,7266.416015625
238,7263.7783203125
239,7261.18310546875
240,7258.609375
241,7256.05908203125
242,7253.52490234375
243,7251.0107421875
244,7248.5185546875
245,7246.05126953125
